STUDY_ID	SAMPLE_ID	CD274
blca_tcga	TCGA-E7-A85H-01	-0.1335
blca_tcga	TCGA-FJ-A871-01	-0.2353
blca_tcga	TCGA-GU-A764-01	1.4923
blca_tcga	TCGA-K4-A83P-01	-0.1793
blca_tcga	TCGA-KQ-A41O-01	-0.4227
blca_tcga	TCGA-KQ-A41R-01	-0.4108
blca_tcga	TCGA-UY-A78M-01	-0.4093
blca_tcga	TCGA-CF-A8HX-01	-0.4197
blca_tcga	TCGA-CF-A8HY-01	-0.4257
blca_tcga	TCGA-E7-A8O7-01	-0.2172
blca_tcga	TCGA-E7-A8O8-01	-0.3896
blca_tcga	TCGA-LT-A8JT-01	-0.4037
blca_tcga	TCGA-UY-A78P-01	-0.1351
blca_tcga	TCGA-UY-A8OC-01	-0.3017
blca_tcga	TCGA-UY-A8OD-01	-0.3906
blca_tcga	TCGA-XF-A8HB-01	-0.388
blca_tcga	TCGA-XF-A8HC-01	-0.3551
blca_tcga	TCGA-XF-A8HD-01	0.722
blca_tcga	TCGA-XF-A8HE-01	0.5539
blca_tcga	TCGA-XF-A8HF-01	-0.4085
blca_tcga	TCGA-XF-A8HG-01	-0.3621
blca_tcga	TCGA-YC-A89H-01	-0.3193
blca_tcga	TCGA-2F-A9KO-01	0.0119
blca_tcga	TCGA-2F-A9KP-01	-0.401
blca_tcga	TCGA-2F-A9KQ-01	-0.4147
blca_tcga	TCGA-2F-A9KR-01	-0.3698
blca_tcga	TCGA-2F-A9KT-01	-0.4174
blca_tcga	TCGA-2F-A9KW-01	0.4778
blca_tcga	TCGA-CF-A9FF-01	-0.378
blca_tcga	TCGA-CF-A9FH-01	-0.285
blca_tcga	TCGA-CF-A9FL-01	-0.4024
blca_tcga	TCGA-CF-A9FM-01	-0.2622
blca_tcga	TCGA-E7-A97P-01	0.7629
blca_tcga	TCGA-E7-A97Q-01	-0.3137
blca_tcga	TCGA-K4-AAQO-01	-0.3828
blca_tcga	TCGA-S5-AA26-01	-0.4067
blca_tcga	TCGA-SY-A9G0-01	-0.3327
blca_tcga	TCGA-SY-A9G5-01	-0.0259
blca_tcga	TCGA-UY-A9PA-01	0.284
blca_tcga	TCGA-UY-A9PB-01	0.7553
blca_tcga	TCGA-UY-A9PD-01	-0.4057
blca_tcga	TCGA-UY-A9PE-01	-0.3962
blca_tcga	TCGA-UY-A9PF-01	-0.2964
